index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
36506,60104,40.0,0.0,0.0,0.0,1,2010.0,1,2,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36507,60104,40.0,0.0,0.0,0.0,1,2016.0,4,2,1,3.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36508,60618,36.0,0.0,0.0,0.0,1,2014.0,1,4,1,4.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36509,60618,36.0,0.0,0.0,0.0,1,2004.0,1,1,1,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36510,60618,36.0,0.0,0.0,0.0,1,2010.0,4,6,2,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36511,60618,36.0,0.0,0.0,0.0,1,2010.0,1,4,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36512,60618,36.0,0.0,0.0,0.0,1,2010.0,1,2,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36513,60618,36.0,0.0,0.0,0.0,1,2016.0,4,2,1,3.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36514,60634,59.0,0.0,0.0,0.0,1,2014.0,1,4,1,4.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36515,60634,59.0,0.0,0.0,0.0,1,2004.0,1,1,1,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36516,60634,59.0,0.0,0.0,0.0,1,2010.0,4,6,2,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36517,60634,59.0,0.0,0.0,0.0,1,2010.0,1,4,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36518,60634,59.0,0.0,0.0,0.0,1,2010.0,1,2,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36519,60634,59.0,0.0,0.0,0.0,1,2016.0,4,2,1,3.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36520,60137,49.0,-1.0,0.0,0.0,1,2014.0,1,4,1,4.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36521,60137,49.0,-1.0,0.0,0.0,1,2004.0,1,1,1,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36522,60137,49.0,-1.0,0.0,0.0,1,2010.0,4,6,2,1.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36523,60137,49.0,-1.0,0.0,0.0,1,2010.0,1,4,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36524,60137,49.0,-1.0,0.0,0.0,1,2010.0,1,2,1,5.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36525,60137,49.0,-1.0,0.0,0.0,1,2016.0,4,2,1,3.0,30,1,1,1,1,1,6,1,1,-1,2,6,13,6,5,2020,1.0,1,1,1,1,3,4
36727,60618,36.0,0.0,1.0,0.0,1,2013.0,1,1,1,1.0,30,2,0,1,1,6,0,1,2,0,1,2,15,5,5,2020,1.0,1,1,0,1,3,4
36728,60618,36.0,0.0,1.0,0.0,1,2007.0,1,3,1,4.0,30,2,0,1,1,6,0,1,2,0,1,2,15,5,5,2020,1.0,1,1,0,1,3,4
36729,60419,27.0,0.0,0.0,0.0,1,2013.0,1,1,1,1.0,30,2,0,1,1,6,0,1,2,0,1,2,15,5,5,2020,1.0,1,1,0,1,3,4
36730,60419,27.0,0.0,0.0,0.0,1,2007.0,1,3,1,4.0,30,2,0,1,1,6,0,1,2,0,1,2,15,5,5,2020,1.0,1,1,0,1,3,4
37179,60616,22.0,0.0,0.0,0.0,1,2010.0,1,4,1,5.0,30,1,1,1,4,1,1,1,1,0,1,2,0,7,5,2020,0.0,1,1,1,1,3,3
