index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
110526,CHICAGO,IL,60653,47.0,0.0,1.0,0.0,1,18,1,2013.0,1,3,1,7.0,30,4,1,1,2,4,0,1,1,0,1,2,1,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110589,UNKNOWN,XX,0,36.0,0.0,-1.0,0.0,1,9,17,2013.0,1,4,1,10.0,30,1,1,1,2,1,1,1,1,0,2,2,4,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
110590,CHICAGO,IL,60618,24.0,-1.0,-1.0,0.0,1,-1,1,2010.0,1,3,1,1.0,30,1,1,1,2,1,1,1,1,0,2,2,4,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110591,CHICAGO,IL,60618,24.0,-1.0,-1.0,0.0,1,9,17,2013.0,1,4,1,10.0,30,1,1,1,2,1,1,1,1,0,2,2,4,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110619,UNKNOWN,XX,0,36.0,0.0,3.0,0.0,1,1,14,2019.0,1,2,1,1.0,30,1,1,1,5,1,1,1,1,0,2,2,5,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110620,CHICAGO,IL,60644,27.0,0.0,0.0,0.0,1,10,67,2010.0,1,3,1,6.0,30,1,1,1,5,1,1,1,1,0,2,2,5,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110621,CHICAGO,IL,60644,27.0,0.0,0.0,0.0,1,1,14,2019.0,1,2,1,1.0,30,1,1,1,5,1,1,1,1,0,2,2,5,1,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
110763,CHICAGO,IL,60629,49.0,0.0,0.0,0.0,1,21,335,2008.0,1,3,2,6.0,30,1,1,1,1,2,0,2,1,0,2,2,15,7,7,2020,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,1,0
110789,HOFFMAN_ESTATES,IL,60169,33.0,0.0,0.0,0.0,1,3,40,2005.0,1,1,9,1.0,30,1,1,1,1,1,2,1,1,0,1,2,13,1,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
111279,UNKNOWN,XX,0,36.9,0.0,2.0,0.0,1,15,1,2011.0,1,2,4,3.0,35,1,1,1,1,9,14,1,1,0,1,2,6,7,7,2020,1.0,0.0,0.0,0.0,2.0,1,0,0,1,1,1,1
111281,CHICAGO,IL,60609,30.0,0.0,0.0,0.0,1,15,1,2011.0,1,2,4,3.0,35,1,1,1,1,9,14,1,1,0,1,2,6,7,7,2020,0.0,0.0,0.0,1.0,2.0,1,0,0,1,1,1,1
111344,CHICAGO,IL,60609,37.0,0.0,0.0,0.0,1,2,80,2020.0,3,2,1,3.0,30,1,1,1,1,4,5,1,1,0,2,2,10,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,0
111407,CHICAGO,IL,60618,36.0,0.0,0.0,0.0,1,17,52,2015.0,1,4,1,4.0,30,1,1,1,1,4,2,1,1,0,2,2,11,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,1,1
111575,CHICAGO,IL,60643,68.0,0.0,0.0,0.0,1,25,1,2016.0,2,3,1,2.0,30,1,0,1,1,3,0,1,1,0,1,2,15,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
111582,UNKNOWN,XX,0,36.0,0.0,1.0,0.0,1,7,25,2019.0,1,4,1,1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,7,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
