index,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,WEATHER_CONDITION,TRAVEL_DIRECTION,INTERSECTION_RELATED,TRAFFIC_CONTROL_DEVICE,FIRST_CONTACT_POINT,MANEUVER,HIT_AND_RUN,VEHICLE_TYPE,UNIT_TYPE,FATAL_COND,DAMAGE_COST,BAC_RESULT,SEX,FATAL_DEGREE,ZIPCODE,AGE,VEHICLE_YEAR,POSTED_SPEED_LIMIT,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR
120178,1,1,1,2,1,2,11,1,1,1,1,3,2,0,1,0,60619,21.0,2014.0,30,2,15,4,7,2020
120190,1,2,2,2,1,1,8,7,1,1,1,3,3,0,0,0,60644,64.0,2020.0,30,2,15,4,7,2020
120420,1,2,2,4,1,1,1,1,1,1,1,3,2,0,1,0,60644,34.0,2008.0,20,2,16,4,7,2020
120421,1,2,2,3,1,1,3,1,1,1,1,3,3,0,0,0,60443,23.0,2018.0,30,2,16,4,7,2020
120490,1,1,3,1,1,1,2,3,1,2,1,3,2,0,0,0,60419,44.0,2016.0,30,2,13,4,7,2020
120510,1,2,2,1,1,1,2,2,1,1,1,3,2,0,1,0,60659,45.0,2008.0,30,2,17,4,7,2020
120665,1,2,2,3,1,0,1,1,1,2,1,3,2,0,1,0,60629,28.0,2003.0,30,2,17,4,7,2020
120753,2,2,2,4,1,1,6,2,1,1,1,3,3,0,1,0,60609,31.0,2011.0,30,2,23,4,7,2020
120867,2,1,1,2,1,1,3,1,1,1,1,4,3,0,0,0,60612,47.0,2003.0,30,2,1,7,7,2020
120868,2,1,1,1,1,1,3,2,1,1,1,4,3,0,0,0,60612,47.0,2003.0,30,2,1,7,7,2020
121064,3,1,1,2,1,1,9,13,1,1,1,3,3,0,0,0,60555,16.0,2005.0,35,2,21,4,7,2020
121065,3,1,1,2,1,1,11,1,1,1,1,3,3,0,0,0,60555,16.0,2012.0,35,2,21,4,7,2020
121240,1,1,1,1,1,1,1,1,1,1,1,4,3,0,1,3,45252,38.0,2020.0,35,3,17,5,7,2020
121241,1,1,1,1,1,1,7,1,1,1,1,4,3,0,1,3,45252,38.0,2011.0,35,3,17,5,7,2020
121242,1,1,1,4,1,1,8,2,1,1,1,4,3,0,1,3,45252,38.0,2002.0,35,3,17,5,7,2020
121243,1,1,1,1,1,1,1,1,1,1,1,4,3,0,1,3,60628,18.0,2020.0,35,3,17,5,7,2020
121244,1,1,1,1,1,1,7,1,1,1,1,4,3,0,1,3,60628,18.0,2011.0,35,3,17,5,7,2020
121245,1,1,1,4,1,1,8,2,1,1,1,4,3,0,1,3,60628,18.0,2002.0,35,3,17,5,7,2020
121246,1,1,1,1,1,1,1,1,1,1,1,4,3,0,0,3,46324,62.0,2020.0,35,3,17,5,7,2020
121247,1,1,1,1,1,1,7,1,1,1,1,4,3,0,0,3,46324,62.0,2011.0,35,3,17,5,7,2020
121248,1,1,1,4,1,1,8,2,1,1,1,4,3,0,0,3,46324,62.0,2002.0,35,3,17,5,7,2020
121410,1,1,1,2,1,1,11,1,1,7,1,4,3,0,1,0,60623,47.0,2020.0,30,2,13,5,7,2020
121532,1,1,1,2,1,2,1,1,1,2,1,3,1,0,0,0,60651,33.0,2002.0,30,2,8,6,7,2020
121533,1,1,1,2,1,2,2,3,1,1,1,3,1,0,0,0,60651,33.0,2016.0,30,2,8,6,7,2020
121795,1,1,1,1,1,0,4,1,1,1,1,3,3,0,1,0,60624,38.0,2003.0,30,2,13,6,7,2020
121833,1,1,1,2,1,2,1,1,1,1,1,4,3,0,1,0,60624,19.0,2011.0,30,2,12,6,7,2020
122290,1,1,1,3,1,1,1,3,1,1,1,3,3,0,1,0,60618,47.0,2016.0,30,2,17,6,7,2020
122291,1,1,1,3,1,1,2,3,1,1,1,3,3,0,1,0,60618,47.0,2007.0,30,2,17,6,7,2020
122518,1,1,1,3,1,2,2,1,1,1,1,3,2,0,0,0,60639,51.0,2020.0,30,2,13,5,7,2020
122623,1,1,1,7,1,1,11,2,1,1,1,3,3,0,1,0,60623,63.0,2012.0,30,2,11,5,7,2020
122654,1,1,1,-1,1,2,-1,-1,1,-1,1,2,2,0,1,2,60623,54.0,2011.0,20,2,13,5,7,2020
122732,1,1,1,3,1,1,1,1,1,1,1,4,3,0,0,0,60644,31.0,2014.0,30,3,16,5,7,2020
122738,1,1,1,3,1,1,1,1,1,1,1,4,3,0,1,0,10012,22.0,2014.0,30,3,16,5,7,2020
122851,1,1,1,2,1,2,4,1,1,2,1,3,3,0,0,0,60629,39.0,2018.0,30,2,16,5,7,2020
122925,1,1,1,4,1,2,3,1,1,1,1,4,3,0,0,0,60629,30.0,2008.0,30,2,15,5,7,2020
123038,1,1,1,1,1,2,10,1,1,1,1,3,2,0,0,0,60623,22.0,2001.0,30,2,19,5,7,2020
123125,2,1,1,4,1,1,3,1,1,1,1,3,3,0,0,0,60641,33.0,2013.0,30,2,22,5,7,2020
123138,2,1,1,4,1,0,11,1,1,1,1,3,2,0,0,0,60419,59.0,2008.0,30,2,22,5,7,2020
123157,2,1,1,2,1,2,8,2,1,2,1,4,3,0,0,0,60626,27.0,2018.0,30,3,22,5,7,2020
123158,2,1,1,1,1,2,8,5,1,2,2,4,3,0,0,0,60626,27.0,2004.0,30,3,22,5,7,2020
123225,2,1,1,3,1,1,2,10,1,2,1,4,3,0,1,0,60639,37.0,2003.0,35,4,23,5,7,2020
123226,2,1,1,2,1,1,1,4,1,1,1,4,3,0,1,0,60639,37.0,2017.0,35,4,23,5,7,2020
123227,2,1,1,4,1,1,3,5,1,3,2,4,3,0,1,0,60639,37.0,2005.0,35,4,23,5,7,2020
123228,2,1,1,4,1,1,1,5,1,2,2,4,3,0,1,0,60639,37.0,2007.0,35,4,23,5,7,2020
123260,3,1,1,2,1,2,2,2,1,1,1,4,3,0,0,0,60649,43.0,2012.0,35,2,23,5,7,2020
123557,1,1,1,3,1,2,1,1,1,1,1,4,3,0,0,0,60302,34.0,2012.0,30,2,14,5,7,2020
123621,2,1,1,4,1,1,-1,1,1,-1,1,4,3,0,0,2,60419,36.9,2011.0,30,2,21,5,7,2020
123622,2,1,1,3,1,1,-1,1,1,1,1,4,3,0,0,2,60419,36.9,2019.0,30,2,21,5,7,2020
123623,2,1,1,4,1,1,-1,1,1,-1,1,4,3,0,1,2,60632,61.0,2011.0,30,2,21,5,7,2020
123624,2,1,1,3,1,1,-1,1,1,1,1,4,3,0,1,2,60632,61.0,2019.0,30,2,21,5,7,2020
123726,1,1,1,3,1,1,4,6,1,1,1,3,3,0,0,0,30078,43.0,2009.0,30,2,13,6,7,2020
123727,1,1,1,3,1,1,7,1,1,4,1,3,3,0,0,0,30078,43.0,2020.0,30,2,13,6,7,2020
123842,1,1,1,1,1,1,7,3,1,2,1,3,2,0,0,0,60659,36.0,1997.0,25,2,15,6,7,2020
123976,2,1,1,3,1,1,1,1,1,1,1,3,3,0,0,0,60641,56.0,2008.0,30,2,21,6,7,2020
124133,2,1,1,4,1,1,1,1,1,1,1,4,3,0,0,2,60419,36.9,2011.0,30,2,1,7,8,2020
124157,1,1,1,3,1,2,11,1,1,1,1,4,3,0,0,0,60623,33.0,2011.0,30,2,7,7,8,2020
124272,1,1,1,4,1,1,3,1,1,1,1,4,1,0,0,2,0,36.9,2011.0,30,2,10,7,8,2020
124274,1,1,1,4,1,1,3,1,1,1,1,0,1,0,1,2,60640,46.0,2011.0,30,2,10,7,8,2020
124304,1,1,3,4,1,2,3,2,1,1,1,4,3,0,0,1,0,36.0,2005.0,20,2,11,7,8,2020
124306,1,1,3,4,1,2,3,2,1,1,1,0,3,0,0,1,60652,26.0,2005.0,20,2,11,7,8,2020
124537,1,1,1,4,1,1,-1,1,1,3,1,4,2,0,0,1,0,36.0,2016.0,30,2,15,7,8,2020
124538,1,1,1,1,1,1,10,1,1,1,1,4,2,0,0,1,0,36.0,2019.0,30,2,15,7,8,2020
124539,1,1,1,4,1,1,-1,1,1,3,1,4,2,0,0,1,60621,64.0,2016.0,30,2,15,7,8,2020
124540,1,1,1,1,1,1,10,1,1,1,1,4,2,0,0,1,60621,64.0,2019.0,30,2,15,7,8,2020
124888,2,2,2,2,1,1,6,1,1,1,1,4,3,0,1,0,60608,25.0,2008.0,30,2,23,7,8,2020
124899,2,1,1,1,1,1,1,1,1,-1,1,4,3,0,0,2,0,36.9,2011.0,30,2,4,6,7,2020
124901,2,1,1,1,1,1,1,1,1,-1,1,0,3,0,1,2,0,46.0,2011.0,30,2,4,6,7,2020
125079,1,1,1,4,1,0,6,1,1,2,1,3,3,0,0,0,60625,37.0,2008.0,30,2,12,6,7,2020
125183,1,1,1,1,1,1,1,1,1,2,1,3,2,0,0,0,60625,17.0,2014.0,30,2,13,6,7,2020
125184,1,1,1,4,1,1,6,2,1,1,1,3,2,0,0,0,60625,17.0,2009.0,30,2,13,6,7,2020
125342,1,1,1,4,1,1,10,2,1,1,1,4,3,0,1,0,60406,35.0,2020.0,30,2,16,6,7,2020
125346,1,1,1,1,1,1,1,1,1,6,1,4,3,0,1,0,60644,38.0,2002.0,30,2,16,6,7,2020
125745,2,1,1,3,1,0,-1,2,1,1,1,0,2,0,0,2,60620,25.0,2011.0,30,2,23,6,7,2020
125843,2,1,1,1,1,0,6,1,1,1,1,3,3,0,0,0,60619,26.0,2017.0,20,2,21,6,7,2020
125855,1,1,1,4,1,1,9,2,1,1,1,3,3,0,0,0,60636,26.0,2005.0,25,2,17,6,7,2020
125889,1,1,1,2,1,1,8,3,1,1,1,3,1,0,0,0,60609,36.0,2003.0,30,2,18,6,7,2020
126096,3,1,1,1,1,2,5,1,1,1,1,4,3,0,0,2,0,36.9,2012.0,30,4,0,7,8,2020
126097,3,1,1,1,1,2,2,5,1,1,2,4,3,0,0,2,0,36.9,2013.0,30,4,0,7,8,2020
126098,3,1,1,1,1,2,2,5,1,1,2,4,3,0,0,2,0,36.9,2003.0,30,4,0,7,8,2020
126099,3,1,1,2,1,2,1,1,1,1,1,4,3,0,1,2,60624,41.0,2011.0,30,4,0,7,8,2020
126100,3,1,1,1,1,2,5,1,1,1,1,4,3,0,1,2,60624,41.0,2012.0,30,4,0,7,8,2020
126101,3,1,1,1,1,2,2,5,1,1,2,4,3,0,1,2,60624,41.0,2013.0,30,4,0,7,8,2020
126102,3,1,1,1,1,2,2,5,1,1,2,4,3,0,1,2,60624,41.0,2003.0,30,4,0,7,8,2020
126179,1,1,1,1,1,1,-1,1,1,1,1,4,3,0,0,0,60620,37.0,2020.0,30,2,12,7,8,2020
126180,1,1,1,2,1,1,1,1,1,2,1,4,3,0,0,0,60620,37.0,2019.0,30,2,12,7,8,2020
126283,1,1,1,4,1,1,4,1,1,1,1,3,2,0,1,0,60659,29.0,2011.0,30,2,18,7,8,2020
126396,2,2,2,1,1,1,7,3,1,3,1,4,3,0,1,0,60441,39.0,2007.0,45,2,22,7,8,2020
126429,2,2,2,1,1,1,1,3,1,1,1,3,2,0,1,0,60617,41.0,2012.0,30,4,23,7,8,2020
126590,2,2,2,4,1,2,1,1,0,1,1,4,3,0,1,0,60631,56.0,2013.0,30,2,23,7,8,2020
126591,2,2,2,1,1,2,6,1,0,4,1,4,3,0,1,0,60631,56.0,2018.0,30,2,23,7,8,2020
126610,2,2,2,3,1,0,1,1,1,1,1,4,2,0,1,3,60631,38.0,2002.0,25,1,0,1,8,2020
