,index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
1581,74555,CHICAGO,IL,60608,42.0,0.0,0.0,0.0,1,1,1,2017.0,1,3,2,4.0,30,1,1,1,1,2,1,2,1,-1,1,2,15,7,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
1582,74689,CHICAGO,IL,60608,38.0,0.0,6.0,0.0,1,14,184,2002.0,4,3,1,1.0,30,1,1,1,1,3,1,1,1,0,1,2,16,7,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1583,74690,CHICAGO,IL,60608,38.0,0.0,6.0,0.0,1,24,156,2016.0,1,3,1,2.0,30,1,1,1,1,3,1,1,1,0,1,2,16,7,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1584,74691,MADIISON,WI,53714,27.0,0.0,0.0,0.0,1,14,184,2002.0,4,3,1,1.0,30,1,1,1,1,3,1,1,1,0,1,2,16,7,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,1
1585,74692,MADIISON,WI,53714,27.0,0.0,0.0,0.0,1,24,156,2016.0,1,3,1,2.0,30,1,1,1,1,3,1,1,1,0,1,2,16,7,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,1
1586,74936,CHICAGO,IL,60650,21.0,1.0,0.0,0.0,1,15,1,2011.0,1,1,-1,1.0,30,-1,0,2,3,9,2,1,2,0,1,2,21,7,6,2020,0.0,0.0,0.0,1.0,2.0,0,0,1,1,1,1,1
1587,74967,CHICAGO,IL,60650,24.0,0.0,0.0,0.0,1,36,234,2006.0,1,3,1,2.0,30,1,1,2,2,3,0,1,2,0,3,2,22,7,6,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,0
1588,75003,MOUNT_MORRIS,IL,61054,31.0,0.0,0.0,0.0,1,5,7,2009.0,1,2,1,1.0,30,0,0,2,3,1,5,1,2,0,2,2,23,7,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1
1589,75042,CHICAGO,IL,60623,24.0,0.0,0.0,0.0,1,6,41,2018.0,1,4,1,3.0,30,2,2,2,2,1,3,1,2,0,2,2,23,7,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,1
1590,75118,UNKNOWN,XX,0,36.9,0.0,2.0,0.0,1,-1,2,2011.0,1,5,2,4.0,30,0,0,2,2,2,4,1,2,0,1,2,0,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
1591,75119,UNKNOWN,XX,0,36.9,0.0,2.0,0.0,1,31,1,1999.0,6,7,1,1.0,30,0,0,2,2,2,4,1,2,0,1,2,0,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
1592,75120,CHICAGO,IL,60638,34.0,1.0,0.0,0.0,1,-1,2,2011.0,1,5,2,4.0,30,0,0,2,2,2,4,1,2,0,1,2,0,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,1,1,1,1
1593,75121,CHICAGO,IL,60638,34.0,1.0,0.0,0.0,1,31,1,1999.0,6,7,1,1.0,30,0,0,2,2,2,4,1,2,0,1,2,0,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,1,1,1,1
1594,75187,DOLTON,IL,60419,25.0,0.0,0.0,0.0,1,17,1,2007.0,1,1,1,9.0,45,0,0,2,2,4,0,1,2,0,3,2,1,1,6,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,0,1,0
1595,75189,UNKNOWN,XX,0,36.9,0.0,-1.0,0.0,1,3,28,2019.0,2,3,1,7.0,30,1,1,5,3,1,0,1,2,0,1,2,1,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
